,ID,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Education_0,Education_1,Education_2,Education_3,Education_4,Marital_Status_0,Marital_Status_1,Marital_Status_2,Marital_Status_3,Marital_Status_4,Marital_Status_5,Marital_Status_6,Marital_Status_7
13,8180,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
14,2569,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
15,2114,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
16,9736,1,1,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
17,4939,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
18,6565,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
19,2278,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
20,9360,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
21,5376,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
22,1993,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
23,4047,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
24,1409,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
25,7892,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
26,2404,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
28,9422,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
29,1966,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
30,6864,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
31,3033,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
32,5710,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
33,7373,0,2,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
34,8755,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
35,10738,1,1,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
36,4339,0,1,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
37,10755,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
38,8595,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
39,2968,0,0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
40,8601,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
41,503,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
42,8430,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
44,2139,1,0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
45,1371,0,0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
46,9909,0,0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
47,7286,1,0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
49,6566,1,1,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
50,8614,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
51,4114,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
52,1331,1,0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
53,2225,0,0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
54,9381,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
55,6260,0,0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
56,10383,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
57,7437,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
59,8375,0,1,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
60,6853,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
61,3076,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
62,1012,0,1,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
63,6518,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
64,4137,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
65,8082,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
66,1386,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
67,9369,0,1,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
68,4477,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
69,1357,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
70,1402,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
72,6312,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
73,8132,1,1,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
74,1050,0,0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
75,5846,1,0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
76,1859,0,0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
77,7503,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
78,10401,0,0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
79,1618,0,0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
80,3332,1,0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
81,2261,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
82,5346,1,0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
83,4119,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
84,535,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
85,5268,1,1,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
86,273,1,1,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
87,4452,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
88,8504,0,0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
89,771,0,1,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
93,11178,1,0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
94,2230,1,0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
95,7516,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
96,7247,0,1,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
97,11100,1,1,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
98,4646,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
99,3037,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
100,1473,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
101,1016,0,1,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
102,4518,0,1,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
103,9370,0,0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
104,8908,0,0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
105,8373,1,0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
106,7533,1,1,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
107,2683,0,2,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
108,3629,1,0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
109,10991,0,0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
110,5077,0,1,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
111,7431,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
112,3267,0,1,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
113,999,0,0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
114,9215,1,0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
115,2286,1,1,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
116,1592,0,0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
117,367,1,0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
118,5234,1,1,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
119,9862,1,0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
120,9805,0,1,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
121,6205,1,0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
122,8442,2,0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
123,7386,1,0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
124,7215,0,0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
125,1491,0,0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
126,11071,0,0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
127,3381,1,1,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
129,11051,1,1,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
130,8026,0,1,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
131,433,1,1,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
132,9597,0,0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
134,5290,1,1,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
135,1685,0,0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
136,5342,1,0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
137,9579,2,1,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
138,7660,1,1,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
139,1461,1,1,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
140,821,0,0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
141,11084,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
142,8690,0,0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
143,2937,0,1,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
144,9701,1,0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
145,9949,0,2,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
146,10837,1,0,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
147,3120,1,0,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
148,5885,2,1,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
149,4050,0,0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
150,3830,0,2,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
151,7987,0,1,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
152,7798,0,1,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
153,92,1,0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
154,7055,0,1,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
155,10240,0,0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
156,3025,0,1,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
157,9283,1,2,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
158,9970,0,1,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
159,2730,0,0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
160,2795,2,1,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
161,9260,0,0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
162,8182,1,0,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
163,10095,0,0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
164,8475,0,1,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
165,4370,2,1,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
166,10573,0,0,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
167,3712,0,0,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
168,6637,0,0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
169,3152,1,1,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
170,5610,1,1,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
171,6460,1,0,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
172,1349,2,0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
173,1880,1,1,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
174,641,0,1,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
175,8717,0,1,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
176,10314,0,0,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
177,10854,1,1,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
178,10492,2,1,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
179,6935,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
180,7698,0,1,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
181,3559,1,0,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
182,10562,0,0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
183,10796,1,0,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
184,2563,0,0,80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
185,3518,1,0,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
186,5823,0,1,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
187,3934,0,1,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
188,6982,0,0,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
189,6431,1,1,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
190,9733,1,0,52,1,4,10,29,0,36,1,1,1,2,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
191,5602,0,0,98,466,22,432,147,113,102,1,8,7,12,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
192,7829,1,0,99,15,6,8,7,4,25,1,2,1,2,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
193,1324,1,0,93,23,3,21,3,19,22,2,3,0,3,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
194,326,1,1,38,235,6,45,8,9,12,4,5,1,6,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
